[GIN] 2018/06/11 - 16:48:56 | 200 |      1.9976ms |       127.0.0.1 | GET      /get-posts
[GIN] 2018/06/11 - 16:49:02 | 200 |       8.994ms |       127.0.0.1 | GET      /get-html-str/33
[GIN] 2018/06/11 - 16:49:05 | 200 |       998.2µs |       127.0.0.1 | GET      /get-labels
[GIN] 2018/06/11 - 16:49:06 | 200 |      1.0002ms |       127.0.0.1 | GET      /get-posts-by-label/20
[GIN] 2018/06/11 - 16:49:09 | 200 |      1.9933ms |       127.0.0.1 | GET      /get-posts
[GIN] 2018/06/11 - 16:53:29 | 404 |            0s |             ::1 | POST     //upload
[GIN] 2018/06/11 - 16:57:34 | 200 |    529.2834ms |             ::1 | POST     /upload
[GIN] 2018/06/11 - 16:57:46 | 200 |            0s |       127.0.0.1 | GET      /get-posts
[GIN] 2018/06/11 - 16:57:47 | 200 |      1.9976ms |       127.0.0.1 | GET      /get-html-str/34
[GIN] 2018/06/11 - 16:57:47 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/1.png
[GIN] 2018/06/11 - 16:57:47 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/2.png
[GIN] 2018/06/11 - 16:57:47 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/3.png
[GIN] 2018/06/11 - 17:04:03 | 200 |      2.9983ms |       127.0.0.1 | GET      /get-html-str/34
[GIN] 2018/06/11 - 17:04:03 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/1.png
[GIN] 2018/06/11 - 17:04:03 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/2.png
[GIN] 2018/06/11 - 17:04:03 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/3.png
[GIN] 2018/06/11 - 17:04:41 | 200 |     11.9936ms |       127.0.0.1 | GET      /get-html-str/34
[GIN] 2018/06/11 - 17:04:41 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/1.png
[GIN] 2018/06/11 - 17:04:41 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/2.png
[GIN] 2018/06/11 - 17:04:41 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/3.png
[GIN] 2018/06/11 - 17:12:21 | 200 |       984.5µs |       127.0.0.1 | GET      /get-html-str/34
[GIN] 2018/06/11 - 17:12:21 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/1.png
[GIN] 2018/06/11 - 17:12:21 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/2.png
[GIN] 2018/06/11 - 17:12:21 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/3.png
[GIN] 2018/06/11 - 17:17:14 | 200 |      1.9989ms |       127.0.0.1 | GET      /get-html-str/34
[GIN] 2018/06/11 - 17:17:14 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/1.png
[GIN] 2018/06/11 - 17:17:14 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/2.png
[GIN] 2018/06/11 - 17:17:14 | 404 |            0s |       127.0.0.1 | GET      /uploads/post/Go中的切片-1/3.png
[GIN] 2018/06/11 - 17:17:15 | 200 |      3.9982ms |       127.0.0.1 | GET      /get-posts
